area-name,duoarea,period,process,process-name,product,product-name,series,series-description,units,value
NA,RUSF,2018,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_RUSF_MMBBL,U.S. Federal Offshore Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,404
USA-UT,SUT,2018,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SUT_MMBBL,Utah Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,109
CALIFORNIA,SCA,2018,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SCA_MMBBL,California Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,59
NA,RLASO,2018,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_RLASO_MMBBL,Louisiana - South Onshore Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,6
NA,RCAC,2018,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_RCAC_MMBBL,California - Coastal Region Onshore Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,4
NA,R44F,2018,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_R44F_MMBBL,Gulf of America Federal Offshore  (Western) Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,43
NA,RCASF,2018,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07RCASF_1,California State Offshore Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,R5F,2018,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07R5F_1,California Federal Offshore Crude Oil Reserves Extensions (Million Barrels),MMBBL,
USA-ND,SND,2018,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07SND_1,North Dakota Crude Oil Reserves Extensions (Million Barrels),MMBBL,
USA-IN,SIN,2018,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07SIN_1,Indiana Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,RTX10,2018,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07RTX10_1,Texas - RRC District 10 Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,RTX04,2018,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07RTX04_1,Texas - RRC District 4 Onshore Crude Oil Reserves Extensions (Million Barrels),MMBBL,
CALIFORNIA,SCA,2018,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07SCA_1,California Crude Oil Reserves Extensions (Million Barrels),MMBBL,
USA-AL,SAL,2018,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SAL_1,Alabama Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,0
NA,RNMWEST,2018,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06RNMWEST_1,New Mexico - West Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,33
NA,RTX08,2018,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06RTX08_1,Texas - RRC District 8 Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,1017
