area-name,duoarea,period,process,process-name,product,product-name,series,series-description,units,value
NA,RCASF,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01RCASF_1,California State Offshore Crude Oil Proved Reserves (Million Barrels),MMBBL,147
USA-MI,SMI,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01SMI_1,Michigan Crude Oil Proved Reserves (Million Barrels),MMBBL,54
NA,R5F,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01R5F_1,California Federal Offshore Crude Oil Proved Reserves (Million Barrels),MMBBL,81
USA-ND,SND,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01SND_1,North Dakota Crude Oil Proved Reserves (Million Barrels),MMBBL,5473
USA-KY,SKY,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01SKY_1,Kentucky Crude Oil Proved Reserves (Million Barrels),MMBBL,8
NA,RNMWEST,2017,R10,Production from Reserves,EPC0,Crude Oil,RCRR10RNMWEST_1,New Mexico - West Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,6
NA,RNMEAST,2017,R10,Production from Reserves,EPC0,Crude Oil,RCRR10RNMEAST_1,New Mexico - East Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,154
USA-MS,SMS,2017,R10,Production from Reserves,EPC0,Crude Oil,RCRR10SMS_1,Mississippi Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,17
USA-LA,SLA,2017,R10,Production from Reserves,EPC0,Crude Oil,RCRR10SLA_1,Louisiana Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,43
COLORADO,SCO,2017,R10,Production from Reserves,EPC0,Crude Oil,RCRR10SCO_1,Colorado Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,126
NA,RLAN,2017,R10,Production from Reserves,EPC0,Crude Oil,RCRR10RLAN_1,Louisiana - North Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,10
NA,R5F,2017,R10,Production from Reserves,EPC0,Crude Oil,RCRR10R5F_1,California Federal Offshore Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,6
U.S.,NUS,2017,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09NUS_1,U.S. Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
NA,RCAJ,2017,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09RCAJ_1,California - San Joaquin Basin Onshore Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
USA-AL,SAL,2017,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09SAL_1,Alabama Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
USA-ND,SND,2017,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09SND_1,North Dakota Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
USA-PA,SPA,2017,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09SPA_1,Pennsylvania Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
NA,RTX05,2017,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09RTX05_1,Texas - RRC District 5 Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
NA,RCAC,2017,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09RCAC_1,California - Coastal Region Onshore Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
NA,RTX08A,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RTX08A_1,Texas - RRC District 8A Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,RTX07B,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RTX07B_1,Texas - RRC District 7B Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
USA-IN,SIN,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08SIN_1,Indiana Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,RTX02,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RTX02_1,Texas - RRC District 2 Onshore Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
FLORIDA,SFL,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08SFL_1,Florida Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
USA-NM,SNM,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08SNM_1,New Mexico Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
USA-KS,SKS,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08SKS_1,Kansas Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,RNMEAST,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RNMEAST_1,New Mexico - East Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,R1901F,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08R1901F_1,Gulf of America Federal Offshore  (Central & Eastern) Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,RNMWEST,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RNMWEST_1,New Mexico - West Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,R48,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08R48_1,Lower 48 States Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
USA-MS,SMS,2017,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SMS_MMBBL,Mississippi Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,1
USA-LA,SLA,2017,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SLA_MMBBL,Louisiana Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,9
USA-WV,SWV,2017,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SWV_MMBBL,West Virginia Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,0
TEXAS,STX,2017,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_STX_MMBBL,Texas Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,2763
OHIO,SOH,2017,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SOH_MMBBL,Ohio Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,0
USA-NE,SNE,2017,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SNE_MMBBL,Nebraska Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,0
USA-UT,SUT,2017,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SUT_MMBBL,Utah Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,32
USA-AR,SAR,2017,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SAR_MMBBL,Arkansas Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,0
USA-AK,SAK,2017,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SAK_MMBBL,Alaska Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,58
USA-AR,SAR,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07SAR_1,Arkansas Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,RLAN,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07RLAN_1,Louisiana - North Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,R48,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07R48_1,Lower 48 States Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,RCAJ,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07RCAJ_1,California - San Joaquin Basin Onshore Crude Oil Reserves Extensions (Million Barrels),MMBBL,
USA-KS,SKS,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07SKS_1,Kansas Crude Oil Reserves Extensions (Million Barrels),MMBBL,
USA-PA,SPA,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07SPA_1,Pennsylvania Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,RUSF,2017,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06R48F_1,U.S. Federal Offshore Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,150
NA,RTX05,2017,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06RTX05_1,Texas - RRC District 5 Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,3
USA-AL,SAL,2017,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SAL_1,Alabama Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,1
USA-NE,SNE,2017,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SNE_1,Nebraska Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,0
FLORIDA,SFL,2017,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SFL_1,Florida Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,
NA,R1901F,2017,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06R1901F_1,Gulf of America Federal Offshore  (Central & Eastern) Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,150
NA,RTX10,2017,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06RTX10_1,Texas - RRC District 10 Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,22
NA,RLASF,2017,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RLASF_1,Louisiana State Offshore Crude Oil Reserves Divestitures (Million Barrels),MMBBL,5
FLORIDA,SFL,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SFL_1,Florida Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,
USA-NE,SNE,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SNE_1,Nebraska Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,0
NA,RTX10,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTX10_1,Texas - RRC District 10 Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,32
NA,RTX02,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTX02_1,Texas - RRC District 2 Onshore Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,77
NA,R5F,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04R5F_1,California Federal Offshore Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,0
NA,RTX08A,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTX08A_1,Texas - RRC District 8A Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,25
NA,RTX05,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTX05_1,Texas - RRC District 5 Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,11
NA,RTX06,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTX06_1,Texas - RRC District 6 Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,10
NA,R1901F,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04R1901F_1,Gulf of America Federal Offshore  (Central & Eastern) Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,181
USA-ND,SND,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SND_1,North Dakota Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,406
USA-AK,SAK,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SAK_1,Alaska Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,557
COLORADO,SCO,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SCO_1,Colorado Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,104
NA,RLAN,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03RLAN_1,Louisiana - North Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,18
NA,R5F,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03R5F_1,California Federal Offshore Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,11
NA,R1901F,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03R1901F_1,Gulf of America Federal Offshore  (Central & Eastern) Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,1004
USA-MS,SMS,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SMS_1,Mississippi Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,8
NA,RTX02,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03RTX02_1,Texas - RRC District 2 Onshore Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,65
NA,RTX05,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03RTX05_1,Texas - RRC District 5 Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,3
NA,RTX01,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03RTX01_1,Texas - RRC District 1 Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,91
U.S.,NUS,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02NUS_1,U.S. Crude Oil Reserves Adjustments (Million Barrels),MMBBL,822
USA-IN,SIN,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SIN_1,Indiana Crude Oil Reserves Adjustments (Million Barrels),MMBBL,0
USA-UT,SUT,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SUT_1,Utah Crude Oil Reserves Adjustments (Million Barrels),MMBBL,-64
NA,RCAC,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02RCAC_1,California - Coastal Region Onshore Crude Oil Reserves Adjustments (Million Barrels),MMBBL,12
USA-LA,SLA,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SLA_1,Louisiana Crude Oil Reserves Adjustments (Million Barrels),MMBBL,-10
USA-MS,SMS,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SMS_1,Mississippi Crude Oil Reserves Adjustments (Million Barrels),MMBBL,10
NA,RTXSF,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02RTXSF_1,Texas State Offshore Crude Oil Reserves Adjustments (Million Barrels),MMBBL,0
NA,RTX08A,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02RTX08A_1,Texas - RRC District 8A Crude Oil Reserves Adjustments (Million Barrels),MMBBL,15
