area-name,duoarea,period,process,process-name,product,product-name,series,series-description,units,value
NA,RTX07B,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02RTX07B_1,Texas - RRC District 7B Crude Oil Reserves Adjustments (Million Barrels),MMBBL,20
NA,RUSF,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02R48F_1,U.S. Federal Offshore Crude Oil Reserves Adjustments (Million Barrels),MMBBL,175
NA,RLASO,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01RLASO_1,Louisiana - South Onshore Crude Oil Proved Reserves (Million Barrels),MMBBL,275
USA-LA,SLA,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01SLA_1,Louisiana Crude Oil Proved Reserves (Million Barrels),MMBBL,418
NA,R44F,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01R44F_1,Gulf of America Federal Offshore  (Western) Crude Oil Proved Reserves (Million Barrels),MMBBL,244
NA,RTX02,2017,R10,Production from Reserves,EPC0,Crude Oil,RCRR10RTX02_1,Texas - RRC District 2 Onshore Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,149
USA-MI,SMI,2017,R10,Production from Reserves,EPC0,Crude Oil,RCRR10SMI_1,Michigan Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,6
USA-KY,SKY,2017,R10,Production from Reserves,EPC0,Crude Oil,RCRR10SKY_1,Kentucky Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,1
USA-MS,SMS,2017,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09SMS_1,Mississippi Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
NA,RTX01,2017,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09RTX01_1,Texas - RRC District 1 Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
NA,RLAN,2017,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09RLAN_1,Louisiana - North Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
CALIFORNIA,SCA,2017,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09SCA_1,California Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
NA,RTX03,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RTX03_1,Texas - RRC District 3 Onshore Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,RTX05,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RTX05_1,Texas - RRC District 5 Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
USA-PA,SPA,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08SPA_1,Pennsylvania Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
USA-AR,SAR,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08SAR_1,Arkansas Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
USA-AK,SAK,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08SAK_1,Alaska Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,RTX10,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RTX10_1,Texas - RRC District 10 Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,RTX08,2017,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RTX08_1,Texas - RRC District 8 Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
USA-NM,SNM,2017,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SNM_MMBBL,New Mexico Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,484
NA,RCAC,2017,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_RCAC_MMBBL,California - Coastal Region Onshore Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,4
NA,RCASF,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07RCASF_1,California State Offshore Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,RTX01,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07RTX01_1,Texas - RRC District 1 Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,RTX07B,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07RTX07B_1,Texas - RRC District 7B Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,RNMEAST,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07RNMEAST_1,New Mexico - East Crude Oil Reserves Extensions (Million Barrels),MMBBL,
U.S.,NUS,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07NUS_1,U.S. Crude Oil Reserves Extensions (Million Barrels),MMBBL,
USA-WV,SWV,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07SWV_1,West Virginia Crude Oil Reserves Extensions (Million Barrels),MMBBL,
FLORIDA,SFL,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07SFL_1,Florida Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,RTX10,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07RTX10_1,Texas - RRC District 10 Crude Oil Reserves Extensions (Million Barrels),MMBBL,
NA,RTX04,2017,R07,Reserves Extensions,EPC0,Crude Oil,RCRR07RTX04_1,Texas - RRC District 4 Onshore Crude Oil Reserves Extensions (Million Barrels),MMBBL,
COLORADO,SCO,2017,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SCO_1,Colorado Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,75
NA,RNMEAST,2017,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06RNMEAST_1,New Mexico - East Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,609
USA-KY,SKY,2017,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SKY_1,Kentucky Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,0
USA-WV,SWV,2017,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SWV_1,West Virginia Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,0
NA,RCAC,2017,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RCAC_1,California - Coastal Region Onshore Crude Oil Reserves Divestitures (Million Barrels),MMBBL,1
NA,RTX07C,2017,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RTX07C_1,Texas - RRC District 7C Crude Oil Reserves Divestitures (Million Barrels),MMBBL,19
NA,RTX04,2017,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RTX04_1,Texas - RRC District 4 Onshore Crude Oil Reserves Divestitures (Million Barrels),MMBBL,4
NA,RCASF,2017,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RCASF_1,California State Offshore Crude Oil Reserves Divestitures (Million Barrels),MMBBL,0
USA-NM,SNM,2017,R05,Reserves Sales,EPC0,Crude Oil,RCRR05SNM_1,New Mexico Crude Oil Reserves Divestitures (Million Barrels),MMBBL,31
NA,RTXSF,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTXSF_1,Texas State Offshore Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,0
USA-WV,SWV,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SWV_1,West Virginia Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,5
NA,RCAJ,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RCAJ_1,California - San Joaquin Basin Onshore Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,74
NA,R48,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04R48_1,Lower 48 States Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,2887
COLORADO,SCO,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SCO_1,Colorado Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,135
NA,RTX07B,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTX07B_1,Texas - RRC District 7B Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,5
USA-WY,SWY,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SWY_1,Wyoming Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,9
USA-MS,SMS,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SMS_1,Mississippi Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,8
NA,RTX01,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTX01_1,Texas - RRC District 1 Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,296
USA-NM,SNM,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SNM_1,New Mexico Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,117
USA-LA,SLA,2017,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SLA_1,Louisiana Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,21
USA-UT,SUT,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SUT_1,Utah Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,23
NA,R48,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03R48_1,Lower 48 States Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,4947
NA,RNMEAST,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03RNMEAST_1,New Mexico - East Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,143
USA-NM,SNM,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03SNM_1,New Mexico Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,149
NA,RTX03,2017,R03,Reserves Revision Increases,EPC0,Crude Oil,RCRR03RTX03_1,Texas - RRC District 3 Onshore Crude Oil Reserves Revision Increases (Million Barrels),MMBBL,246
NA,R44F,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02R44F_1,Gulf of America Federal Offshore  (Western) Crude Oil Reserves Adjustments (Million Barrels),MMBBL,1
USA-AK,SAK,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SAK_1,Alaska Crude Oil Reserves Adjustments (Million Barrels),MMBBL,6
NA,RTX03,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02RTX03_1,Texas - RRC District 3 Onshore Crude Oil Reserves Adjustments (Million Barrels),MMBBL,-47
USA-WV,SWV,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SWV_1,West Virginia Crude Oil Reserves Adjustments (Million Barrels),MMBBL,8
USA-AR,SAR,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SAR_1,Arkansas Crude Oil Reserves Adjustments (Million Barrels),MMBBL,2
NA,R5F,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02R5F_1,California Federal Offshore Crude Oil Reserves Adjustments (Million Barrels),MMBBL,26
USA-NE,SNE,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SNE_1,Nebraska Crude Oil Reserves Adjustments (Million Barrels),MMBBL,1
NA,R1901F,2017,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02R1901F_1,Gulf of America Federal Offshore  (Central & Eastern) Crude Oil Reserves Adjustments (Million Barrels),MMBBL,148
NA,RTX07B,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01RTX07B_1,Texas - RRC District 7B Crude Oil Proved Reserves (Million Barrels),MMBBL,126
NA,RTX02,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01RTX02_1,Texas - RRC District 2 Onshore Crude Oil Proved Reserves (Million Barrels),MMBBL,1214
NA,R1901F,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01R1901F_1,Gulf of America Federal Offshore  (Central & Eastern) Crude Oil Proved Reserves (Million Barrels),MMBBL,4464
USA-WV,SWV,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01SWV_1,West Virginia Crude Oil Proved Reserves (Million Barrels),MMBBL,9
NA,RTX09,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01RTX09_1,Texas - RRC District 9 Crude Oil Proved Reserves (Million Barrels),MMBBL,150
USA-UT,SUT,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01SUT_1,Utah Crude Oil Proved Reserves (Million Barrels),MMBBL,285
NA,RTX03,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01RTX03_1,Texas - RRC District 3 Onshore Crude Oil Proved Reserves (Million Barrels),MMBBL,772
NA,RNMWEST,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01RNMWEST_1,New Mexico - West Crude Oil Proved Reserves (Million Barrels),MMBBL,78
NA,RTXSF,2017,R01,Proved Reserves,EPC0,Crude Oil,RCRR01RTXSF_1,Texas State Offshore Crude Oil Proved Reserves (Million Barrels),MMBBL,0
